rank,location,total_violations,hotspot_score,severity,description
159,"5th Main Road, Dhondusa Layout, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",331,8.09,MEDIUM,High parking violation zone requiring enforcement attention.
160,"MBT Road, YSM Layout, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",330,8.07,MEDIUM,High parking violation zone requiring enforcement attention.
161,"Outer Ring Road, Saffron Square, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",330,8.07,MEDIUM,High parking violation zone requiring enforcement attention.
162,"Old Airport Road, Manipal Hospital Junction, Kodihalli, Bengaluru, Karnataka. Pin-560008 (India)",328,8.02,MEDIUM,High parking violation zone requiring enforcement attention.
163,"ITPL Main Road, Vijetha Lapis Lazati, Brookefield, Bengaluru, Karnataka. Pin-560037 (India)",323,7.9,MEDIUM,High parking violation zone requiring enforcement attention.
164,"O Shaughnessy Road, Divyasree Chambers, Langford Garden, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)",323,7.9,MEDIUM,High parking violation zone requiring enforcement attention.
165,"Infantry Road, Prestige Central, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",321,7.85,MEDIUM,High parking violation zone requiring enforcement attention.
166,"BB Naidu Road, Sagar Theatre Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",319,7.8,MEDIUM,High parking violation zone requiring enforcement attention.
167,"Avenue Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",316,7.73,MEDIUM,High parking violation zone requiring enforcement attention.
168,"AS Char Main Road, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",315,7.7,MEDIUM,High parking violation zone requiring enforcement attention.
169,"Vibgyor High School Road, Samhita Rainbow MTB Apartment, Green Garden Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",315,7.7,MEDIUM,High parking violation zone requiring enforcement attention.
170,"Outer Ring Road, Vajram Esteva, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",314,7.68,MEDIUM,High parking violation zone requiring enforcement attention.
171,"BB Naidu Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",313,7.65,MEDIUM,High parking violation zone requiring enforcement attention.
172,"Kempegowda Road, Mysore Bank Circle, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",313,7.65,MEDIUM,High parking violation zone requiring enforcement attention.
173,"80 Feet Road, Block 2, Armane Nagar, Bengaluru, Karnataka. Pin-560094 (India)",312,7.63,MEDIUM,High parking violation zone requiring enforcement attention.
174,"1st Main Road, Sagar Theatre Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",308,7.53,MEDIUM,High parking violation zone requiring enforcement attention.
175,"Main Road, Mallige Thotta, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)",307,7.51,MEDIUM,High parking violation zone requiring enforcement attention.
176,"Outer Ring Road, Bellandur Circle, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",307,7.51,MEDIUM,High parking violation zone requiring enforcement attention.
177,"1st Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",306,7.48,MEDIUM,High parking violation zone requiring enforcement attention.
178,"Silver Jubilee Park Road, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",304,7.43,MEDIUM,High parking violation zone requiring enforcement attention.
179,"19th Main Road, Ketamaranahalli, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",302,7.38,MEDIUM,High parking violation zone requiring enforcement attention.
180,"Mysore Road, BR Pura, Bengaluru, Karnataka. Pin-560026 (India)",301,7.36,MEDIUM,High parking violation zone requiring enforcement attention.
181,"Outer Ring Road, Kotturu, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",301,7.36,MEDIUM,High parking violation zone requiring enforcement attention.
182,"Outer Ring Road, Prestige Silver Crest, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",301,7.36,MEDIUM,High parking violation zone requiring enforcement attention.
183,"1st B Main Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",299,7.31,MEDIUM,High parking violation zone requiring enforcement attention.
184,"Ronald Colaco Road, Sadahalli Gate Junction, Navarathna Agrahara, Bengaluru, Karnataka. Pin-562157 (India)",299,7.31,MEDIUM,High parking violation zone requiring enforcement attention.
185,"Vatal Nagaraj Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",298,7.29,MEDIUM,High parking violation zone requiring enforcement attention.
186,"Marathahalli Underpass, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",297,7.26,MEDIUM,High parking violation zone requiring enforcement attention.
187,"14th Main Road, The Metropolitan Cooperative Housing Society, Sector 4, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",297,7.26,MEDIUM,High parking violation zone requiring enforcement attention.
188,"Old Madras Road, Gopalan Grand Mall, Nagavara Palya, CV Raman Nagar, Bengaluru, Karnataka. Pin-560093 (India)",297,7.26,MEDIUM,High parking violation zone requiring enforcement attention.
189,"Golf Avenue Road, Muniallappa Garden, Kodihalli, Bengaluru, Karnataka. Pin-560008 (India)",296,7.24,MEDIUM,High parking violation zone requiring enforcement attention.
190,"6th Main Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",295,7.21,MEDIUM,High parking violation zone requiring enforcement attention.
191,"Hosapalya Main Road, BKL Colony, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",295,7.21,MEDIUM,High parking violation zone requiring enforcement attention.
192,"Dickenson Road, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",295,7.21,MEDIUM,High parking violation zone requiring enforcement attention.
193,"Police Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",293,7.16,MEDIUM,High parking violation zone requiring enforcement attention.
194,"7th Cross Road, MICO Layout, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",292,7.14,MEDIUM,High parking violation zone requiring enforcement attention.
195,"Konanakunte Main Road, Banashankari Bus Stand Junction, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560070 (India)",291,7.11,MEDIUM,High parking violation zone requiring enforcement attention.
196,"Whitefield Road, VR Mall, Dyavasandra Industrial Estate Phase 2, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",290,7.09,MEDIUM,High parking violation zone requiring enforcement attention.
197,"Hospital Road, Kempegowda Maharaja Complex, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",290,7.09,MEDIUM,High parking violation zone requiring enforcement attention.
198,"Hosur Road, Krimson Square, Muneshwara Nagar, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",290,7.09,MEDIUM,High parking violation zone requiring enforcement attention.
199,"Kalasipalyam Main Road, Mothinagar, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",288,7.04,MEDIUM,High parking violation zone requiring enforcement attention.
200,"Da Ra Bendre Road, Block 1R, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",287,7.02,MEDIUM,High parking violation zone requiring enforcement attention.
201,"G Narayana Kumar Road, Jai Maniurao Circle, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",285,6.97,MEDIUM,High parking violation zone requiring enforcement attention.
202,"ITPL Main Road, Pebble Creek, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",284,6.94,MEDIUM,High parking violation zone requiring enforcement attention.
203,"Brigade Road, St Patricks Complex, Ashok Nagar, Bengaluru, Karnataka. Pin-560025 (India)",284,6.94,MEDIUM,High parking violation zone requiring enforcement attention.
204,"20th Main Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",282,6.89,MEDIUM,High parking violation zone requiring enforcement attention.
205,"Hospital Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",278,6.8,MEDIUM,High parking violation zone requiring enforcement attention.
206,"Neeladri Road, Himagiri Residency, Bettadasanapura, Bengaluru, Karnataka. Pin-560100 (India)",277,6.77,MEDIUM,High parking violation zone requiring enforcement attention.
207,"Dr Ambedkar Road, Shanthaveri Gopalagowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",275,6.72,MEDIUM,High parking violation zone requiring enforcement attention.
208,"Queens Road, Rajiv Gandhi Colony, Shivaji Nagar, Bengaluru, Karnataka. Pin-560051 (India)",275,6.72,MEDIUM,High parking violation zone requiring enforcement attention.
209,"11th Main Road, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",273,6.67,MEDIUM,High parking violation zone requiring enforcement attention.
210,"Old Tharagupete Cross Road, Chickpet Circle, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",271,6.63,MEDIUM,High parking violation zone requiring enforcement attention.
211,"Outer Ring Road, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",271,6.63,MEDIUM,High parking violation zone requiring enforcement attention.
212,"Bellary Road, Esteem Mall, Hebbal Kempapura, Bengaluru, Karnataka. Pin-560024 (India)",270,6.6,MEDIUM,High parking violation zone requiring enforcement attention.
213,"7th Cross Road, MICO Employees House Building Cooperative Society, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",269,6.58,MEDIUM,High parking violation zone requiring enforcement attention.
214,"Whitefield Road, Sadaramangala Industrial Area, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",267,6.53,MEDIUM,High parking violation zone requiring enforcement attention.
215,"Infantry Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",266,6.5,MEDIUM,High parking violation zone requiring enforcement attention.
216,"Kempegowda Road, Sagar Theatre Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",265,6.48,MEDIUM,High parking violation zone requiring enforcement attention.
217,"AS Char Main Road, Chanda Nagar, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)",264,6.45,MEDIUM,High parking violation zone requiring enforcement attention.
218,"Avenue Road, Medarpet, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",264,6.45,MEDIUM,High parking violation zone requiring enforcement attention.
219,"Panathur Main Road, Darshan Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",263,6.43,MEDIUM,High parking violation zone requiring enforcement attention.
220,"Shri Ramalingeshwara Cave Temple Road, Royal Meenakshi Mall, Hulimavu, Bengaluru, Karnataka. Pin-560076 (India)",263,6.43,MEDIUM,High parking violation zone requiring enforcement attention.
221,"9th Main Road, Block 2, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",260,6.36,MEDIUM,High parking violation zone requiring enforcement attention.
222,"Outer Ring Road, Shilpitha Tech Park, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",256,6.26,MEDIUM,High parking violation zone requiring enforcement attention.
223,"Jumma Masjid Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",254,6.21,MEDIUM,High parking violation zone requiring enforcement attention.
224,"Gandhi Bazar Road, Gandhi Bazar Circle, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",253,6.19,MEDIUM,High parking violation zone requiring enforcement attention.
225,"Robertson Road, Sri Ramakrishnappa Circle, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",251,6.14,MEDIUM,High parking violation zone requiring enforcement attention.
226,"Outer Ring Road, Sharadamma Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",250,6.11,MEDIUM,High parking violation zone requiring enforcement attention.
227,"Ayyappa Temple Road, Fortuna Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",250,6.11,MEDIUM,High parking violation zone requiring enforcement attention.
228,"Dr Vishwesha Teertha Swamy Gala Road, Kathriguppe Circle, Banashankari Stage 3, Bengaluru, Karnataka. Pin-560085 (India)",249,6.09,MEDIUM,High parking violation zone requiring enforcement attention.
229,"Avenue Road, Ragipet, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",248,6.06,MEDIUM,High parking violation zone requiring enforcement attention.
230,"Sri Narasimha Raj Wadiyar Road, Potters Colony, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",248,6.06,MEDIUM,High parking violation zone requiring enforcement attention.
231,"AS Char Main Road, Balepete, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",246,6.01,MEDIUM,High parking violation zone requiring enforcement attention.
232,"3rd Cross Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",244,5.97,MEDIUM,High parking violation zone requiring enforcement attention.
233,"Outer Ring Road, Citilights Libery Apartment, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",243,5.94,MEDIUM,High parking violation zone requiring enforcement attention.
234,"Outer Ring Road, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",242,5.92,MEDIUM,High parking violation zone requiring enforcement attention.
235,"ITPL Main Road, SJR Brooklyn Apartment, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",239,5.84,MEDIUM,High parking violation zone requiring enforcement attention.
236,"Kasturba Road, Hudson Circle, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",239,5.84,MEDIUM,High parking violation zone requiring enforcement attention.
237,"Kempegowda Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",236,5.77,MEDIUM,High parking violation zone requiring enforcement attention.
238,"Lalbagh Main Road, SGN Layout, Kalasipalyam, Bengaluru, Karnataka. Pin-560027 (India)",236,5.77,MEDIUM,High parking violation zone requiring enforcement attention.
239,"Sir CV Raman Hospital Road, The Junction, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",235,5.75,MEDIUM,High parking violation zone requiring enforcement attention.
240,"Kadubeesanahalli Underpass, Indiqube Alpha, Reddy Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",235,5.75,MEDIUM,High parking violation zone requiring enforcement attention.
241,"4th Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",235,5.75,MEDIUM,High parking violation zone requiring enforcement attention.
242,"Sri Dharmaraya Swamy Temple Main Road, Halsurpete, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",234,5.72,MEDIUM,High parking violation zone requiring enforcement attention.
243,"Outer Ring Road, Vaswani Melrose, Chandana, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",233,5.7,MEDIUM,High parking violation zone requiring enforcement attention.
244,"Allalasandra Main Road, Taralabalu Enclave, Yelahanka, Bengaluru, Karnataka. Pin-560064 (India)",231,5.65,MEDIUM,High parking violation zone requiring enforcement attention.
245,"Markham Road, St Patricks Complex, Ashok Nagar, Bengaluru, Karnataka. Pin-560025 (India)",228,5.57,MEDIUM,High parking violation zone requiring enforcement attention.
246,"Avenue Road, Mysore Bank Circle, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",228,5.57,MEDIUM,High parking violation zone requiring enforcement attention.
247,"Bellary Road, HGH Layout, Ganga Nagar, Bengaluru, Karnataka. Pin-560032 (India)",226,5.53,MEDIUM,High parking violation zone requiring enforcement attention.
248,"Chikka Banavara RS Road, Prasad Enclave, Jalahalli, Bengaluru, Karnataka. Pin-560015 (India)",225,5.5,MEDIUM,High parking violation zone requiring enforcement attention.
249,"Mumbai Bengaluru Highway, Gorguntepalya Junction, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",221,5.4,MEDIUM,High parking violation zone requiring enforcement attention.
250,"Seshadri Road, Anand Rao Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",218,5.33,MEDIUM,High parking violation zone requiring enforcement attention.
251,"Aruna Chouhan Muduar Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",217,5.31,MEDIUM,High parking violation zone requiring enforcement attention.
252,"T Mariyappa Road, Madhavan Circle, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",215,5.26,MEDIUM,High parking violation zone requiring enforcement attention.
253,"Hosapalya Main Road, S Nazir Sab Layout, HSR Layout, Bengaluru, Karnataka. Pin-560068 (India)",215,5.26,MEDIUM,High parking violation zone requiring enforcement attention.
