rank,location,total_violations,hotspot_score,severity
201,"G Narayana Kumar Road, Jai Maniurao Circle, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",285,6.97,MEDIUM
202,"ITPL Main Road, Pebble Creek, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",284,6.94,MEDIUM
203,"Brigade Road, St Patricks Complex, Ashok Nagar, Bengaluru, Karnataka. Pin-560025 (India)",284,6.94,MEDIUM
204,"20th Main Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",282,6.89,MEDIUM
205,"Hospital Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",278,6.8,MEDIUM
206,"Neeladri Road, Himagiri Residency, Bettadasanapura, Bengaluru, Karnataka. Pin-560100 (India)",277,6.77,MEDIUM
207,"Dr Ambedkar Road, Shanthaveri Gopalagowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",275,6.72,MEDIUM
208,"Queens Road, Rajiv Gandhi Colony, Shivaji Nagar, Bengaluru, Karnataka. Pin-560051 (India)",275,6.72,MEDIUM
209,"11th Main Road, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",273,6.67,MEDIUM
210,"Old Tharagupete Cross Road, Chickpet Circle, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",271,6.63,MEDIUM
211,"Outer Ring Road, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",271,6.63,MEDIUM
212,"Bellary Road, Esteem Mall, Hebbal Kempapura, Bengaluru, Karnataka. Pin-560024 (India)",270,6.6,MEDIUM
213,"7th Cross Road, MICO Employees House Building Cooperative Society, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",269,6.58,MEDIUM
214,"Whitefield Road, Sadaramangala Industrial Area, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",267,6.53,MEDIUM
215,"Infantry Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",266,6.5,MEDIUM
216,"Kempegowda Road, Sagar Theatre Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",265,6.48,MEDIUM
217,"AS Char Main Road, Chanda Nagar, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)",264,6.45,MEDIUM
218,"Avenue Road, Medarpet, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",264,6.45,MEDIUM
219,"Panathur Main Road, Darshan Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",263,6.43,MEDIUM
220,"Shri Ramalingeshwara Cave Temple Road, Royal Meenakshi Mall, Hulimavu, Bengaluru, Karnataka. Pin-560076 (India)",263,6.43,MEDIUM
221,"9th Main Road, Block 2, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",260,6.36,MEDIUM
222,"Outer Ring Road, Shilpitha Tech Park, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",256,6.26,MEDIUM
223,"Jumma Masjid Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",254,6.21,MEDIUM
224,"Gandhi Bazar Road, Gandhi Bazar Circle, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",253,6.19,MEDIUM
225,"Robertson Road, Sri Ramakrishnappa Circle, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",251,6.14,MEDIUM
226,"Outer Ring Road, Sharadamma Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",250,6.11,MEDIUM
227,"Ayyappa Temple Road, Fortuna Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",250,6.11,MEDIUM
228,"Dr Vishwesha Teertha Swamy Gala Road, Kathriguppe Circle, Banashankari Stage 3, Bengaluru, Karnataka. Pin-560085 (India)",249,6.09,MEDIUM
229,"Avenue Road, Ragipet, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",248,6.06,MEDIUM
230,"Sri Narasimha Raj Wadiyar Road, Potters Colony, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",248,6.06,MEDIUM
231,"AS Char Main Road, Balepete, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",246,6.01,MEDIUM
232,"3rd Cross Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",244,5.97,MEDIUM
233,"Outer Ring Road, Citilights Libery Apartment, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",243,5.94,MEDIUM
234,"Outer Ring Road, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",242,5.92,MEDIUM
235,"ITPL Main Road, SJR Brooklyn Apartment, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",239,5.84,MEDIUM
236,"Kasturba Road, Hudson Circle, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",239,5.84,MEDIUM
237,"Kempegowda Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",236,5.77,MEDIUM
238,"Lalbagh Main Road, SGN Layout, Kalasipalyam, Bengaluru, Karnataka. Pin-560027 (India)",236,5.77,MEDIUM
239,"Sir CV Raman Hospital Road, The Junction, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",235,5.75,MEDIUM
240,"Kadubeesanahalli Underpass, Indiqube Alpha, Reddy Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",235,5.75,MEDIUM
241,"4th Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",235,5.75,MEDIUM
242,"Sri Dharmaraya Swamy Temple Main Road, Halsurpete, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",234,5.72,MEDIUM
243,"Outer Ring Road, Vaswani Melrose, Chandana, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",233,5.7,MEDIUM
244,"Allalasandra Main Road, Taralabalu Enclave, Yelahanka, Bengaluru, Karnataka. Pin-560064 (India)",231,5.65,MEDIUM
245,"Markham Road, St Patricks Complex, Ashok Nagar, Bengaluru, Karnataka. Pin-560025 (India)",228,5.57,MEDIUM
246,"Avenue Road, Mysore Bank Circle, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",228,5.57,MEDIUM
247,"Bellary Road, HGH Layout, Ganga Nagar, Bengaluru, Karnataka. Pin-560032 (India)",226,5.53,MEDIUM
248,"Chikka Banavara RS Road, Prasad Enclave, Jalahalli, Bengaluru, Karnataka. Pin-560015 (India)",225,5.5,MEDIUM
249,"Mumbai Bengaluru Highway, Gorguntepalya Junction, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",221,5.4,MEDIUM
250,"Seshadri Road, Anand Rao Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",218,5.33,MEDIUM
251,"Aruna Chouhan Muduar Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",217,5.31,MEDIUM
252,"T Mariyappa Road, Madhavan Circle, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",215,5.26,MEDIUM
253,"Hosapalya Main Road, S Nazir Sab Layout, HSR Layout, Bengaluru, Karnataka. Pin-560068 (India)",215,5.26,MEDIUM
254,"Dr Rajkumar Puniya Bhoomi Road, Block 2, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)",214,5.23,MEDIUM
255,"Brigade Road, Cauvery Junction, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",212,5.18,MEDIUM
256,"Old Madras Road, Lido Mall, Someshwarpura, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",210,5.13,MEDIUM
257,"Palace Road, Mysore Bank Circle, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",210,5.13,MEDIUM
258,"Laxmana Mudaliar Street, Nethaji Subhas Chadra Bose Circle, Shivaji Nagar, Bengaluru, Karnataka. Pin-560051 (India)",206,5.04,MEDIUM
259,"Sri Sankasta Hara Ganapati Temple Road, Hampi Nagar, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)",206,5.04,MEDIUM
260,"80 Feet Road, KGE Layout, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",206,5.04,MEDIUM
261,"Domlur Inner Ring Road, Dr BR Ambedkar Circle, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",206,5.04,MEDIUM
262,"12th Main Road, The Junction, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",206,5.04,MEDIUM
263,"Dr Siddaiah Puranik Marg, Havanur Circle, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",205,5.01,MEDIUM
264,"Mysore Road, YR Vasudeva Bhattacharya Layout, Byatarayanapura New Extension, Bengaluru, Karnataka. Pin-560026 (India)",205,5.01,MEDIUM
265,"Dispensary Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",205,5.01,MEDIUM
266,"12th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",205,5.01,MEDIUM
267,"Siddavanahalli Krishna Sharma Road, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",205,5.01,MEDIUM
268,"Hosur Road, Salarpuria Sattva Alexandria Tech Park, Veerasandra Industrial Area, Bengaluru, Karnataka. Pin-560100 (India)",205,5.01,MEDIUM
269,"Jewellers Street, Quadrant Square, Shivaji Nagar, Bengaluru, Karnataka. Pin-560051 (India)",204,4.99,MEDIUM
270,"17th Cross Road, MRCR Extension, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",204,4.99,MEDIUM
271,"Mariamma Lane, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",204,4.99,MEDIUM
272,"Dr Siddaiah Puranik Marg, Bhimajyothi LIC Colony, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",203,4.96,MEDIUM
273,"Narasimha Raj Wadiyar Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",203,4.96,MEDIUM
274,"Hosur Road, Ozone Manay Tech Park, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",203,4.96,MEDIUM
275,"3rd Main Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",203,4.96,MEDIUM
276,"12th Main Road, Kittur Rani Chennamma Circle, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",203,4.96,MEDIUM
277,"10th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",203,4.96,MEDIUM
278,"Old Mysore Road, Block 4N, Ramachandrapuram, Bengaluru, Karnataka. Pin-560021 (India)",201,4.91,MEDIUM
279,"Diagonal Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",199,4.87,MEDIUM
280,"Dr Ambedkar Road, Ambedkar Veedhi, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",199,4.87,MEDIUM
281,"HAL Airport Road, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",197,4.82,MEDIUM
282,"3rd Main Road, Sagar Theatre Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",197,4.82,MEDIUM
283,"Chord Road, Shivanahalli Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",197,4.82,MEDIUM
284,"4th Cross Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",197,4.82,MEDIUM
285,"Magadi Main Road, Hanumantharayan Palya, Sunkadakatte, Bengaluru, Karnataka. Pin-560091 (India)",197,4.82,MEDIUM
286,"20th Main Road, KHB Colony, Block 5, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",196,4.79,MEDIUM
287,"4th Cross Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",196,4.79,MEDIUM
288,"3rd Cross Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",196,4.79,MEDIUM
289,"Panathur Main Road, Mariyappa Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",196,4.79,MEDIUM
290,"Domlur Inner Ring Road, Block 2, Koramangala, Bengaluru, Karnataka. Pin-560068 (India)",196,4.79,MEDIUM
291,"Tippu Sultan Palace Road, Bangalore Medical College & Research Institute, Bengaluru, Karnataka. Pin-560002 (India)",195,4.77,MEDIUM
292,"9th Main Road, The Metropolitan Cooperative Housing Society, Sector 4, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",195,4.77,MEDIUM
293,"1st Main Road, Havanur Circle, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",194,4.74,MEDIUM
294,"Palace Road, Embassy Habitat, Abshot Layout, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",194,4.74,MEDIUM
295,"Avenue Road, Avenue Circle, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",193,4.72,MEDIUM
296,"41st Cross Road, ESI Hospital Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",191,4.67,MEDIUM
297,"ITPL Main Road, Embassy Paragon, Thubarahalli, Bengaluru, Karnataka. Pin-560066 (India)",191,4.67,MEDIUM
298,"Padmabhushan Dr MC Modi Road, Navarang Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",190,4.65,MEDIUM
299,"Suranjan Das Road, Nada Prabhu Kempegowda Circle, New Thippasandra, Bengaluru, Karnataka. Pin-560075 (India)",190,4.65,MEDIUM
300,"Dr Siddaiah Puranik Marg, Shankarmata Circle, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560086 (India)",190,4.65,MEDIUM
301,"Kadidal Manjappa Road, Divyasree Chambers, Langford Garden, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)",188,4.6,MEDIUM
302,"ITPL Main Road, MS Ramaiah Silicon Field Apartment, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",186,4.55,MEDIUM
303,"1st Cross Road, Block 2, Koramangala, Bengaluru, Karnataka. Pin-560068 (India)",183,4.47,MEDIUM
304,"80 Feet Ring Road, Sri SV Chenna Krishnaiah Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",183,4.47,MEDIUM
305,"BGS Flyover, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",182,4.45,MEDIUM
306,"Padmabhushan Dr RK Srikantan Road, Seshadripuram Police Station Junction, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",182,4.45,MEDIUM
307,"Central Street, Prestige Central, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",181,4.43,MEDIUM
308,"60 Feet Main Road, Brigade Tech Gardens, Brookefield, Bengaluru, Karnataka. Pin-560037 (India)",180,4.4,MEDIUM
309,"Netaji Road, Sri Ramakrishnappa Circle, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",180,4.4,MEDIUM
310,"Gnana Bharathi Road, Manasa Layout, Nagarbhavi, Bengaluru, Karnataka. Pin-560072 (India)",180,4.4,MEDIUM
311,"Chinmaya Mission Hospital Road, KFC Circle, Indiranagar, Bengaluru, Karnataka. Pin-560038 (India)",180,4.4,MEDIUM
312,"Rao Bahadur DGT Road, Cottonpet Circle, Cottonpete, Bengaluru, Karnataka. Pin-560053 (India)",179,4.38,MEDIUM
313,"Outer Ring Road, Salarpuria Sattva Eminence, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",178,4.35,MEDIUM
314,"12th Main Road, Police Quarters, Block 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",178,4.35,MEDIUM
315,"Grant Road, Walton Road Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",178,4.35,MEDIUM
316,"BGS Flyover, Chanda Nagar, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)",178,4.35,MEDIUM
317,"Mumbai Bengaluru Highway, Cardinal One, Industrial Suburb, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",177,4.33,MEDIUM
318,"Amrutha College Road, Azalea, Owners Court Layout, Kasavanahalli, Bengaluru, Karnataka. Pin-560035 (India)",176,4.3,MEDIUM
319,"Outer Ring Road, Bellandur Junction, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",176,4.3,MEDIUM
320,"Silver Jubilee Park Road, Gollarpet, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",175,4.28,MEDIUM
321,"Konanakunte Main Road, Gopalan Jewels, Siddanna Layout, Bikaspura, Bengaluru, Karnataka. Pin-560062 (India)",175,4.28,MEDIUM
322,"Old Airport Road, Anjaneya Techno Park, ISRO Colony, Domlur, Bengaluru, Karnataka. Pin-560008 (India)",173,4.23,MEDIUM
323,"20th Main Road, Block G, Sahakara Nagar, Bengaluru, Karnataka. Pin-560092 (India)",173,4.23,MEDIUM
324,"Padmabhushan Dr MC Modi Road, Indiranagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",173,4.23,MEDIUM
325,"Old Airport Road, Carlton Towers, HAL Stage 2, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",170,4.16,MEDIUM
326,"Outer Ring Road, Bellandur Amanikere, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",170,4.16,MEDIUM
327,"Sadduguntepalya Road, Bharthi Layout, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",170,4.16,MEDIUM
328,"Saunders Road, Pulikeshi Nagar, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",168,4.11,MEDIUM
329,"Railway Station Road, Majestic Circle, Majestic, Bengaluru, Karnataka. Pin-560023 (India)",168,4.11,MEDIUM
330,"Andree Road, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka. Pin-560027 (India)",167,4.08,MEDIUM
331,"5th Cross Road, Navarang Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",166,4.06,MEDIUM
332,"Sri Sri Sri Tiruchi Mahaswamiji Road, Gopalan Arcade, Nayandahalli, Bengaluru, Karnataka. Pin-560039 (India)",166,4.06,MEDIUM
333,"Amrutha College Road, Kristal Jasper Villa, Haralur, Bengaluru, Karnataka. Pin-560035 (India)",165,4.03,MEDIUM
334,"ITPL Main Road, Maruthi Emerald, Thubarahalli, Bengaluru, Karnataka. Pin-560066 (India)",165,4.03,MEDIUM
335,"Queens Road, Govinda Chetty Colony, Shivaji Nagar, Bengaluru, Karnataka. Pin-560051 (India)",165,4.03,MEDIUM
336,"9th Main Road, Da Ra Bendre Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",164,4.01,MEDIUM
337,"Kempapura Main Road, Esteem Mall, Hebbal Kempapura, Bengaluru, Karnataka. Pin-560024 (India)",164,4.01,MEDIUM
338,"Grant Road, UB City, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",164,4.01,MEDIUM
339,"SK Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",164,4.01,MEDIUM
340,"8th Cross Road, RR Palace, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",163,3.99,MEDIUM
341,"Mumbai Bengaluru Highway, WTC Annexe, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",162,3.96,MEDIUM
342,"Dairy Circle Flyover Underpass, Dairy Circle, Adugodi, Bengaluru, Karnataka. Pin-560029 (India)",162,3.96,MEDIUM
343,"Sarjapura Main Road, Kodathi Gate, Kodathi, Bengaluru, Karnataka. Pin-560035 (India)",160,3.91,MEDIUM
344,"Mallathahalli Road, Sri Gurukrupa Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)",160,3.91,MEDIUM
345,"Banaswadi Main Road, Prestige Woodland Park, Maruthi Sevanagar, Bengaluru, Karnataka. Pin-560005 (India)",160,3.91,MEDIUM
346,"HAL Airport Road, MS Reddy Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",159,3.89,MEDIUM
347,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",159,3.89,MEDIUM
348,"Millers Road, BKM Gowda Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",159,3.89,MEDIUM
349,"14th Main Road, Dr BR Ambedkar Layout, Sector 3, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",158,3.86,MEDIUM
350,"80 Feet Ring Road, One Bangalore West, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",157,3.84,MEDIUM
351,"20th Main Road, Ganga Government Quarters, MRCR Layout, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",157,3.84,MEDIUM
352,"22nd Main Road, Nethravathi Government Quarters, MRCR Layout, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",156,3.81,MEDIUM
353,"1st Main Road, Arepanahalli, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",154,3.77,MEDIUM
354,"7th Main Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",153,3.74,MEDIUM
355,"17th Cross Road, Police Quarters, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",153,3.74,MEDIUM
356,"4th Main Road, Parisara Organic Junction, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",152,3.72,MEDIUM
357,"GP Rajarathnam Road, Block A, Subramanya Nagar Stage 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",152,3.72,MEDIUM
358,"Anna Basavanna Road, RV Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",152,3.72,MEDIUM
359,"8th Main Road, Thulasi Thottam, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",149,3.64,MEDIUM
360,"Seshadri Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",149,3.64,MEDIUM
361,"Dr Ambedkar Road, Police Thimmaiah Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",149,3.64,MEDIUM
362,"5th Cross Road, Rajath Greens, Block 5 Stage 1, HBR Layout, Bengaluru, Karnataka. Pin-560043 (India)",148,3.62,MEDIUM
363,"Outer Ring Road, Doddanekundi, Bengaluru, Karnataka. Pin-560037 (India)",148,3.62,MEDIUM
364,"12th Main Road, Old Thippasandra, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",148,3.62,MEDIUM
365,"Mumbai Bengaluru Highway, Godrej Tiara, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",145,3.55,MEDIUM
366,"Kodigehalli Main Road, Aryav Greenfields, Kadugodi, KR Puram, Bengaluru, Karnataka. Pin-560067 (India)",145,3.55,MEDIUM
367,"RK Road Number 7, L&T Tech Park, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",144,3.52,MEDIUM
368,"80 Feet Road, Havanur Circle, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",144,3.52,MEDIUM
369,"2nd Cross Road, Nagashetty Halli, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",143,3.5,MEDIUM
370,"Gangadhara Chetty Road, Neelkanta Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",143,3.5,MEDIUM
371,"Mysore Road, Iyannashetty Layout, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)",143,3.5,MEDIUM
372,"Whitefield Road, International Technology Park Bangalore, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",142,3.47,MEDIUM
373,"B 1st Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",142,3.47,MEDIUM
374,"Dr Rajkumar Puniya Bhoomi Road, Sumnahalli Junction, Kamakshipalya, Bengaluru, Karnataka. Pin-560091 (India)",142,3.47,MEDIUM
375,"Panathur Main Road, High Cliff, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",142,3.47,MEDIUM
376,"Mumbai Bengaluru Highway, RNS Shanthi Nivas, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",142,3.47,MEDIUM
377,"Hosa Road, Channakeshava Nagar, Singasandra, Bengaluru, Karnataka. Pin-560100 (India)",142,3.47,MEDIUM
378,"Whitefield Road, Muthukurappa Colony, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",141,3.45,MEDIUM
379,"RT Nagar Main Road, Judicial Officers HBCS, Ganga Nagar, Bengaluru, Karnataka. Pin-560032 (India)",141,3.45,MEDIUM
380,"Mallathahalli Road, Block 12, BDA Layout, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)",141,3.45,MEDIUM
381,"Hosur Road, Janatha Colony, Bommasandra, Bengaluru, Karnataka. Pin-560099 (India)",141,3.45,MEDIUM
382,"G Narayana Kumar Road, Ashwath Nagar, Bengaluru, Karnataka. Pin-560023 (India)",140,3.42,MEDIUM
383,"Dr BR Ambedkar Road, HAL Circle, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)",140,3.42,MEDIUM
384,"WOC Road, Bovipalya, Mahalakshmipuram, Bengaluru, Karnataka. Pin-560086 (India)",140,3.42,MEDIUM
385,"Begur Main Road, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",140,3.42,MEDIUM
